Date update,Id,Child ExternalId,Child lookup,Child SObject,Missing value,Parent ExternalId,Parent SObject
2021-07-16  12:32:59.455,0033h00000mdbNZAAY,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.455,0033h00000mdCB0AAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-119721;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.455,0033h00000mdFG1AAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.455,0033h00000mdFJ9AAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.455,0033h00000mOim0AAC,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-119721;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.455,0033h00000mdFJJAA2,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdFJTAA2,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdFIuAAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdFIvAAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mOimhAAC,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-119721;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdJEiAAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110011;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000eUbWkAAK,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-114798;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000eUbWuAAK,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-114798;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdISTAA2,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000eUbSaAAK,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-114798;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdFJdAAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdFJnAAM,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000eUbWzAAK,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-114798;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000eUbWpAAK,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-114798;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdFHEAA2,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000mdF4rAAE,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110020;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000eUbX4AAK,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-114798;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000hk1E3AAI,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000hk199AAA,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.456,0033h00000hk1DjAAI,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.457,0033h00000hk1DKAAY,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.457,0033h00000hk0mtAAA,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.457,0033h00000hk1DPAAY,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.457,0033h00000hk1DZAAY,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.457,0033h00000hk1DoAAI,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
2021-07-16  12:32:59.457,0033h00000hk1DeAAI,Account.$$Organization_Ext_Id__c$RecordTypeId,AccountId,Contact,UI-110034;0123h000000MpYTAA0,Organization_Ext_Id__c;RecordTypeId,Account
