PSR_Sub_Operation_ID__c,Name,PSR_Approval_Date__c,PSR_Available_Amount__c,PSR_Cancel_Amount__c,PSR_Applicable__c,PSR_Country_Group__c,PSR_Current_Approved_Amount__c,PSR_Current_Execution_End_Date__c,PSR_Current_Last_Disbursement_Date__c,PSR_Disbursed_Amount__c,PSR_Executing_Agency_Text__c,PSR_Executing_Agency__c,PSR_Financing_Type__c,PSR_First_Disbursement_Date__c,PSR_First_Elegibility_Date__c,PSR_Fund_Currency__c,PSR_Fund__c,PSR_Increased_Amount__c,PSR_Operation__c,PSR_Original_Approved_Amount__c,PSR_Original_Execution_End_Date__c,PSR_Original_Last_Disbursement_Date__c,PSR_Region__c,PSR_Signature_Date__c,PSR_Status__c,PSR_Sub_Operation_ID2__c,PSR_Subtype__c,PSR_Has_One_Achieved_Milestone_Per_Sem__c,PSR_Totally_Disbursed_Date__c,PSR_Type__c,Percentage_Disbursed__c,PSR_Exceptional_Applicability__c,PSR_Country_Admin__c,PSR_Country_Beneficiary__c,PSR_Total_Elegibility_Date__c,PSR_Executing_Agency_Acronym__c,Fund__c,ORP_BeneficiaryCountry__c,ORP_ClosedDate__c,ORP_CommittedAmount__c,ORP_CountryGroup__c,ORP_CurrentExecutingDivision__c,ORP_EffectiveDate__c,ORP_ExecutionStatus__c,ORP_Instrument__c,ORP_MostRecentDisbursement__c,ORP_OrgUnit__c,ORP_ParticipantCountries__c,ORP_ProjectObjective__c,ORP_TypeofSupport__c,PSR_ActiveMilestones__c,PSR_Category86__c,PSR_ComplyRulesForDisbursement__c,PSR_CumulativeAmountLocalContribution__c,PSR_DeadlineForSignatureOLD__c,PSR_DeadlineForSignature__c,PSR_Disbursement_Consecutive_Number__c,PSR_EmailNotificationsEvaluated__c,PSR_LifecycleMilestones__c,PSR_MilestonePriorCondition__c,PSR_NeedsStatementOfExpenses__c,PSR_NextMilestoneAboutToDue__c,PSR_OverDueMilestones__c,PSR_PendingJustificationDate__c,PSR_PercentageofJustification__c,PSR_PerformanceAlerts__c,PSR_PosponedPriorConditions__c,PSR_PosponedSignature__c,PSR_LastDisbursementTransaction__c,PSR_LatestPSR__c,PSR_OverdueClause__c,PSR_Threshold__c,PSR_GeneratePSR__c,Errors
ATN/KB-8257-RS,ATN/KB-8257-RS,2003-03-28,0,0,false,R,66836,,2004-12-31,66836,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-05-02,2003-03-28,USD,CAB,0,a0X22000001556hEAA,40100,,2004-03-28,REG,2003-03-28,CF,,,false,2004-07-16,TCP,1,PSR_Applied,,Regional,2003-03-28,US-IDB,,RG,2004-07-16,,R,SCL,2003-03-28,Closed,Technical Cooperation,2004-07-01,SCL/SPH,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/ND-8284-RS,ATN/ND-8284-RS,2003-04-23,0,11480,false,R,36520,,2004-04-30,36520,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-03-01,2003-04-29,USD,NFM,0,a0X22000001556iEAA,48000,,2004-04-30,REG,2003-04-23,CF,,,false,2005-02-03,TCP,1,PSR_Applied,,Regional,2003-04-29,US-IDB,,RG,2005-02-03,,R,MIF,2003-04-23,Closed,Technical Cooperation,2004-03-26,MIF,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NP-8305-RS,ATN/NP-8305-RS,2003-05-09,0,1992.9,false,R,64307.1,,2006-12-31,64307.1,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2004-07-19,2004-07-01,USD,NPE,0,a0X22000001556jEAA,66300,,2005-07-09,REG,2003-05-09,CF,,,false,2007-03-16,TCP,1,PSR_Applied,,Regional,2004-07-01,US-IDB,,RG,2007-03-16,,R,INE,2003-05-09,Closed,Technical Cooperation,2006-06-15,INE/RND,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/WP-8305-RS,ATN/WP-8305-RS,2003-05-09,0,304.84,false,R,65995.16,,2005-10-31,65995.16,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-07-17,2003-05-09,USD,NWP,0,a0X22000001556jEAA,66300,,2005-10-31,REG,2003-05-09,CF,,,false,2006-06-01,TCP,1,PSR_Applied,,Regional,2003-05-09,US-IDB,,RG,2006-06-01,,R,INE,2003-05-09,Closed,Technical Cooperation,2005-04-26,INE/RND,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/DO-8274-RS,ATN/DO-8274-RS,2003-04-10,0,0,false,R,12600,,2004-03-15,12600,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-07-25,2003-04-10,USD,DOE,0,a0X22000001556kEAA,12600,,2003-11-30,REG,2003-04-10,CF,,,false,2004-03-09,TCP,1,PSR_Applied,,Regional,2003-04-10,US-IDB,,RG,2004-03-09,,R,INE,2003-04-10,Closed,Technical Cooperation,2004-03-01,INE/ENE,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/IS-8463-RS,ATN/IS-8463-RS,2003-10-03,0,0,false,R,27500,,2004-03-31,27500,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-10-30,2003-10-03,USD,IST,0,a0X22000001556lEAA,27500,,2004-02-28,REG,2003-10-03,CF,,,false,2004-03-09,TCP,1,PSR_Applied,,Regional,2003-10-03,US-IDB,,RG,2004-03-09,,R,SCL,2003-10-03,Closed,Technical Cooperation,2004-03-09,SCL/EDU,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/ND-8285-RS,ATN/ND-8285-RS,2003-04-23,0,37124.39,false,R,91475.61,,2005-04-30,91475.61,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-07-03,2003-04-23,USD,NFM,0,a0X22000001556mEAA,128600,,2004-07-31,REG,2003-04-23,CF,,,false,2005-05-05,TCP,1,PSR_Applied,,Regional,2003-04-23,US-IDB,,RG,2005-05-05,,R,MIF,2003-04-23,Closed,Technical Cooperation,2005-04-18,MIF,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/CT-8317-RS,ATN/CT-8317-RS,2003-05-21,0,0,false,R,0,,2005-12-31,139992,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-10-16,2003-05-21,CAD,CTP,0,a0X22000001556nEAA,0,,2005-12-31,REG,2003-05-21,CF,,,false,2006-03-21,TCP,1.06,PSR_Applied,,Regional,2003-05-21,US-IDB,,RG,2006-03-21,,R,SCL,2003-05-21,Closed,Technical Cooperation,2005-09-30,SCL/SPH,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/WP-8283-RS,ATN/WP-8283-RS,2003-04-23,0,7333.31,false,R,142666.69,,2008-09-30,142666.69,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2004-04-06,2003-07-09,USD,NWP,0,a0X22000001556oEAA,150000,,2004-10-31,REG,2003-04-23,CF,,,false,2008-09-05,TCP,1,PSR_Applied,,Regional,2003-07-09,US-IDB,,RG,2008-09-05,,R,INE,2003-04-23,Closed,Technical Cooperation,2008-08-18,INE/WSA,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/ND-8306-RS,ATN/ND-8306-RS,2003-05-08,0,15,false,R,14985,,2004-12-31,14985,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-08-12,2003-05-08,USD,NFM,0,a0X22000001556pEAA,15000,,2004-04-30,REG,2003-05-08,CF,,,false,2005-02-03,TCP,1,PSR_Applied,,Regional,2003-05-08,US-IDB,,RG,2005-02-03,,R,MIF,2003-05-08,Closed,Technical Cooperation,2004-12-20,MIF,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
