Client__c,Operation__c,RelationshipKey__c,Type__c,Errors
0012200000VBjKvAAL,a0X2200000153WGEAY,BR-L1509|BR-BDF|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jJ:--
0012200000VBjKvAAL,a0X2200000153WGEAY,BR-L1509|BR-BDF|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jK:--
0012200000VBjKwAAL,a0X2200000153YrEAI,BR-M1114|BR-SESI|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jL:--
0012200000VBjKwAAL,a0X2200000153YpEAI,BR-M1066|BR-SESI|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jM:--
,a0X2200000153Y8EAI,BR-M1054|BR-IBAM|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jN:--
,a0X2200000153XgEAI,TC6712112|BR-IBAM|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jO:--
,a0X2200000153WJEAY,BR-T1315|BR-IBAM|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jP:--
,a0X2200000153XhEAI,TC9705487|BR-IBAM|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jQ:--
0012200000VBjL0AAL,a0X2200000153XDEAY,CH0133|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jR:--
,a0X2200000153YsEAI,BR-M1120|BR-IBAM|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jS:--
,a0X2200000153YtEAI,BR-T1312|BR-IBAM|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jT:--
0012200000VBjKyAAL,a0X2200000153WHEAY,BR-M1133|BR-VMB|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jU:--
