RecordTypeId,Organization_Ext_Id__c,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Website,Industry,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,FinServ__BankNumber__c,FinServ__BorrowingHistory__c,FinServ__BorrowingPriorities__c,FinServ__BranchCode__c,FinServ__BranchName__c,FinServ__ClaimsOnHouseholdPolicies__c,FinServ__ClientCategory__c,FinServ__ConversionDateTime__c,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerID__c,FinServ__CustomerSegment__c,FinServ__CustomerType__c,FinServ__FinancialInterests__c,FinServ__HouseholdPolicies__c,FinServ__IndividualId__c,FinServ__IndividualType__c,FinServ__InsuranceCustomerSince__c,FinServ__InvestmentExperience__c,FinServ__InvestmentObjectives__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LastInteraction__c,FinServ__LastReview__c,FinServ__LastTransactionDateJointOwner__c,FinServ__LastTransactionDatePrimaryOwner__c,FinServ__LastUsedChannel__c,FinServ__LifetimeValue__c,FinServ__MarketingSegment__c,FinServ__NetWorth__c,FinServ__NextInteraction__c,FinServ__NextReview__c,FinServ__Notes__c,FinServ__PersonalInterests__c,FinServ__PrimaryContact__c,FinServ__ReferredByContact__c,FinServ__RelationshipStartDate__c,FinServ__ReviewFrequency__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__SourceSystemId__c,FinServ__Status__c,FinServ__TimeHorizon__c,FinServ__TotalAUMJointOwner__c,FinServ__TotalAUMPrimaryOwner__c,FinServ__TotalBankDepositsJointOwner__c,FinServ__TotalBankDepositsPrimaryOwner__c,FinServ__TotalClaimAmountPaid__c,FinServ__TotalFinAcctsJointOwner__c,FinServ__TotalFinAcctsPrimaryOwner__c,FinServ__TotalHeldFinAcctsJointOwner__c,FinServ__TotalHeldFinAcctsPrimaryOwner__c,FinServ__TotalHouseholdPremiums__c,FinServ__TotalInsuranceJointOwner__c,FinServ__TotalInsurancePrimaryOwner__c,FinServ__TotalInvestmentsJointOwner__c,FinServ__TotalInvestmentsPrimaryOwner__c,FinServ__TotalLiabilitiesJointOwner__c,FinServ__TotalLiabilitiesPrimaryOwner__c,FinServ__TotalNonfinancialAssetsJointOwner__c,FinServ__TotalNonfinancialAssetsPrimaryOwner__c,FinServ__TotalNumberOfFinAccountsJointOwner__c,FinServ__TotalNumberOfFinAccountsPrimaryOwner__c,FinServ__TotalOutstandingCreditJointOwner__c,FinServ__TotalOutstandingCreditPrimaryOwner__c,FinServ__TotalPremium__c,FinServ__TotalRevenue__c,Economic_Group_Ext_Id__c,IDB_CRM_Link__c,Errors
0123h000000MpYTAA0,UI-119721,Grupo Piñero,,,,,,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,duplicate value found: Organization_Ext_Id__c duplicates value on record with id: 0010500000JzWnu
0123h000000MpYTAA0,UI-110020,Banco Cooperativo Sicredi,,,Porto Alegre,,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,duplicate value found: Organization_Ext_Id__c duplicates value on record with id: 0010500000JzWnv
0123h000000MpYTAA0,UI-110011,Agripac S.A.,,,Guayaquil,,,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,duplicate value found: Organization_Ext_Id__c duplicates value on record with id: 0010500000JzWnx
0123h000000MpYTAA0,UI-114798,Tiendas Industriales Asociadas Tía S.A,,,Guayaquil,,,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,duplicate value found: Organization_Ext_Id__c duplicates value on record with id: 0010500000JzWo0
0123h000000MpYTAA0,UI-110034,Banco Promerica El Salvador,,,Antiguo Cuscatlan,,,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,duplicate value found: Organization_Ext_Id__c duplicates value on record with id: 0010500000JzWo1
